ts_s,x_m,y_m,rssi_dbm,ssid,bssid,roam_event
71.0,35.5,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
72.0,36.0,0.0,-45,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
73.0,36.5,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
74.0,37.0,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
75.0,37.5,0.0,-43,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
76.0,38.0,0.0,-48,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
77.0,38.5,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
78.0,39.0,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
79.0,39.5,0.0,-44,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
80.0,40.0,0.0,-45,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
81.0,40.5,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
82.0,41.0,0.0,-44,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
83.0,41.5,0.0,-38,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
84.0,42.0,0.0,-34,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
85.0,42.5,0.0,-34,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
86.0,43.0,0.0,-31,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
87.0,43.5,0.0,-29,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
88.0,44.0,0.0,-32,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
89.0,44.5,0.0,-34,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
90.0,45.0,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
91.0,45.5,0.0,-43,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
92.0,46.0,0.0,-43,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
93.0,46.5,0.0,-37,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
94.0,47.0,0.0,-38,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
95.0,47.5,0.0,-38,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
96.0,48.0,0.0,-36,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
97.0,48.5,0.0,-36,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
98.0,49.0,0.0,-32,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
99.0,49.5,0.0,-44,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
100.0,50.0,0.0,-46,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
101.0,50.5,0.0,-39,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
